Game_id,Team,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination,Poste
5,ROM,4,L,L,1,1,5,0,M
5,IRE,7,L,R,1,1,6,0,M
5,ROM,1,R,L,1,1,7,0,M
5,IRE,8,L,L,1,1,8,0,A
5,ROM,7,R,L,1,0,9,0,M
5,IRE,6,R,l,1,1,10,1,D
6,ARG,6,R,L,1,1,1,0,D
6,YUG,1,R,R,0,0,2,0,M
6,ARG,1,R,R,1,1,3,0,M
6,YUG,4,R,R,1,1,4,0,M
6,ARG,7,L,L,1,0,5,0,M
6,YUG,7,L,R,1,1,6,0,M
6,ARG,3,R,L,0,0,7,0,M
6,YUG,7,R,L,1,0,8,0,M
6,ARG,7,R,C,1,1,9,0,A
6,YUG,6,R,R,1,0,10,1,D
7,ITA,8,R,R,1,1,1,0,D
7,ARG,5,R,L,1,1,2,0,D
7,ITA,4,R,L,1,1,3,0,A
7,ARG,8,R,R,1,1,4,0,M
7,ITA,4,L,L,1,1,5,0,D
7,ARG,9,R,L,1,1,6,0,D
7,ITA,6,R,R,1,0,7,0,M
7,ARG,7,L,R,1,1,8,0,M
7,ITA,9,L,R,1,0,9,1,A
7,ARG,,,,,,10,,
8,ENG,7,R,R,1,1,1,0,A
8,GER,7,R,L,1,1,2,0,D
8,ENG,6,R,R,1,1,3,0,A
8,GER,4,R,L,1,1,4,0,M
8,ENG,1,R,L,1,0,5,0,M
8,GER,6,R,R,1,1,6,0,A
8,ENG,8,L,L,1,0,7,0,D
8,GER,6,R,R,1,1,8,0,M
8,ENG,1,L,L,0,0,9,1,M
8,GER,,,,,,10,0,
9,MEX,2,L,R,0,0,1,0,M
9,BUL,4,L,l,1,0,2,0,M
9,MEX,9,R,R,1,0,3,0,M
9,BUL,2,R,R,1,1,4,0,A
9,MEX,7,R,L,1,0,5,0,M
9,BUL,1,R,L,1,1,6,0,M
9,MEX,9,R,C,1,1,7,0,D
9,BUL,3,R,R,1,1,8,1,M
9,MEX,,,,,,9,,
9,BUL,,,,,,10,,
10,SWE,2,R,R,0,0,1,0,M
10,RUM,9,R,R,1,1,2,0,A
10,SWE,6,R,R,1,1,3,0,A
10,RUM,9,L,L,1,1,4,0,M
10,SWE,7,R,C,1,1,5,0,A
10,RUM,4,R,R,1,1,6,0,M
10,SWE,7,R,R,1,1,7,0,M
10,RUM,5,R,R,1,0,8,0,D
10,SWE,2,R,L,1,1,9,0,D
10,RUM,4,R,R,1,1,10,1,M
10,SWE,9,R,L,1,1,11,0,A
10,RUM,9,R,R,1,0,12,1,D
11,ITA,2,R,R,0,0,1,0,D
11,BRA,4,R,L,1,0,2,0,D
11,ITA,4,R,R,1,1,3,0,M
11,BRA,4,R,C,1,1,4,0,A
11,ITA,5,L,L,1,1,5,0,M
11,BRA,9,L,L,1,1,6,0,D
11,ITA,6,R,R,1,0,7,0,A
11,BRA,6,R,L,1,1,8,0,M
11,ITA,2,R,C,0,0,9,1,A
11,BRA,,,,,,10,,
12,ARG,9,L,R,1,1,1,0,M
12,ENG,1,R,L,1,1,2,0,A
12,ARG,6,R,R,1,0,3,0,A
12,ENG,6,R,R,1,0,4,0,M
12,ARG,1,R,L,1,1,5,0,M
12,ENG,1,R,L,1,1,6,0,M
12,ARG,7,R,L,1,1,7,0,M
12,ENG,1,R,R,1,1,8,0,A
12,ARG,9,R,C,1,1,9,0,D
12,ENG,5,R,L,1,0,10,1,M
13,FRA,7,R,R,1,1,1,0,M
13,ITA,9,R,C,1,1,2,0,A
13,FRA,7,L,L,1,0,3,0,D
13,ITA,7,R,L,1,0,4,0,M
13,FRA,7,R,R,1,1,5,0,A
13,ITA,4,R,L,1,1,6,0,D
13,FRA,9,R,R,1,1,7,0,A
13,ITA,3,L,R,1,1,8,0,A
13,FRA,5,R,R,1,1,9,0,D
13,ITA,2,R,R,0,0,10,0,M
14,BRA,2,R,R,1,1,1,0,A
14,HOL,4,L,L,1,1,2,0,M
14,BRA,6,L,L,1,1,3,0,M
14,HOL,9,R,R,1,1,4,0,M
14,BRA,5,R,R,1,1,5,0,D
14,HOL,6,L,R,1,0,6,0,A
14,BRA,1,R,L,1,1,7,0,M
14,HOL,7,R,L,1,0,8,1,M
14,BRA,,,,,,9,,
14,HOL,,,,,,10,,
15,IRE,2,R,R,1,1,1,0,A
15,SPA,4,R,R,1,1,2,0,D
15,IRE,2,R,R,0,0,3,0,M
15,SPA,6,R,C,1,1,4,0,M
15,IRE,5,R,C,1,0,5,0,A
15,SPA,9,L,C,0,0,6,0,D
15,IRE,6,L,R,1,0,7,0,M
15,SPA,7,R,R,0,0,8,1,M
15,IRE,3,R,C,1,1,9,1,D
15,SPA,8,R,L,1,1,10,1,M
16,KOR,9,R,R,1,1,1,0,A
16,SPA,5,R,R,1,1,2,0,D
16,KOR,6,R,C,1,1,3,0,M
16,SPA,7,R,R,1,1,4,0,M
16,KOR,6,R,L,1,1,5,0,A
16,SPA,3,R,C,1,1,6,0,M
16,KOR,8,R,L,1,1,7,0,A
16,SPA,5,R,C,1,0,8,0,M
16,KOR,3,R,L,1,1,9,1,D
16,SPA,,,,,,10,,
17,UKR,7,R,L,1,0,1,0,A
17,SWZ,7,L,L,1,0,2,0,A
17,UKR,5,R,L,1,1,3,0,A
17,SWZ,1,R,L,0,0,4,0,M
17,UKR,6,R,L,1,1,5,0,A
17,SWZ,2,R,R,1,0,6,0,M
17,UKR,7,R,R,1,1,7,1,M
17,SWZ,,,,,,8,,
17,UKR,,,,,,9,,
17,SWZ,,,,,,10,,
18,GER,6,R,R,1,1,1,0,A
18,ARG,1,R,L,1,1,2,0,A
18,GER,4,R,C,1,1,3,0,M
18,ARG,9,R,R,1,0,4,0,D
18,GER,9,L,L,1,1,5,0,A
18,ARG,7,R,L,1,1,6,0,M
18,GER,9,R,L,1,1,7,0,M
18,ARG,9,L,R,1,0,8,1,M
18,GER,,,,,,9,,
18,ARG,,,,,,10,,
19,POR,7,R,L,1,1,1,0,M
19,ENG,8,R,C,1,0,2,0,M
19,POR,4,L,R,0,0,3,0,M
19,ENG,7,R,L,1,1,4,0,M
19,POR,7,R,L,0,0,5,0,M
19,ENG,5,R,R,1,0,6,0,M
19,POR,4,R,C,1,1,7,0,A
19,ENG,7,R,L,1,0,8,0,D
19,POR,6,R,L,1,1,9,1,A
19,ENG,,,,,,10,,
20,ITA,2,R,L,1,1,1,0,M
20,FRA,9,R,L,1,1,2,0,A
20,ITA,9,L,R,1,1,3,0,D
20,FRA,1,R,R,0,0,4,0,A
20,ITA,1,R,L,1,1,5,0,M
20,FRA,7,L,R,1,1,6,0,D
20,ITA,4,R,R,1,1,7,0,A
20,FRA,3,R,L,1,1,8,0,D
20,ITA,3,L,L,1,1,9,1,D
20,FRA,,,,,,10,,
21,PAR,7,R,L,1,1,1,0,M
21,JAP,6,R,L,1,1,2,0,M
21,PAR,9,R,R,1,1,3,0,A
21,JAP,4,R,L,1,1,4,0,M
21,PAR,9,R,L,1,1,5,0,M
21,JAP,1,R,L,0,0,6,0,D
21,PAR,2,R,L,1,1,7,0,A
21,JAP,8,L,R,1,1,8,1,M
21,PAR,7,L,R,1,1,9,1,A
21,JAP,,,,,,10,,
22,URU,6,R,L,1,1,1,0,A
22,GHA,3,R,R,1,1,2,0,A
22,URU,1,R,L,1,1,3,0,D
22,GHA,1,R,L,1,1,4,0,M
22,URU,8,R,C,1,1,5,0,D
22,GHA,8,R,R,1,0,6,0,D
22,URU,2,R,L,0,0,7,0,D
22,GHA,9,R,R,1,0,8,0,A
22,URU,5,L,L,1,1,9,1,A
22,GHA,,,,,,10,,
23,BRA,4,R,R,1,1,1,0,D
23,CHI,5,R,C,1,0,2,0,A
23,BRA,7,R,C,0,0,3,0,M
23,CHI,7,R,L,1,0,4,0,A
23,BRA,6,L,R,1,1,5,0,D
23,CHI,3,R,C,1,1,6,0,M
23,BRA,8,L,R,1,0,7,0,A
23,CHI,8,R,R,1,1,8,0,M
23,BRA,7,R,C,1,1,9,0,A
23,CHI,6,R,R,0,0,10,1,D
24,CRA,2,R,L,1,1,1,0,M
24,GRE,4,L,C,1,1,2,0,A
24,CRA,3,L,L,1,1,3,0,M
24,GRE,9,R,L,1,1,4,0,M
24,CRA,5,R,L,1,1,5,0,D
24,GRE,3,L,R,1,1,6,0,D
24,CRA,7,L,C,1,1,7,0,A
24,GRE,4,R,L,1,0,8,0,A
24,CRA,1,R,L,1,1,9,1,D
24,GRE,,,,,,10,,
25,CRA,9,R,R,1,1,1,0,M
25,HOL,9,L,R,1,1,2,0,A
25,CRA,9,L,R,1,0,3,0,M
25,HOL,1,L,R,1,1,4,0,A
25,CRA,6,R,R,1,1,5,0,D
25,HOL,4,R,R,1,1,6,0,M
25,CRA,1,R,L,1,1,7,0,M
25,HOL,7,R,L,1,1,8,0,A
25,CRA,9,R,R,1,0,9,1,D
25,HOL,,,,,,10,,
26,HOL,9,R,R,1,0,1,0,D
26,ARG,4,L,C,1,1,2,0,A
26,HOL,9,L,L,1,1,3,0,A
26,ARG,2,R,L,1,1,4,0,D
26,HOL,4,R,L,1,0,5,0,M
26,ARG,7,R,L,1,1,6,0,A
26,HOL,9,R,L,1,1,7,0,A
26,ARG,4,R,L,1,1,8,1,M
26,HOL,,,,,,9,,
26,ARG,,,,,,10,,
27,SPA,6,R,C,1,1,1,0,M
27,RUS,4,R,L,1,1,2,0,A
27,SPA,7,R,R,1,1,3,0,D
27,RUS,6,R,L,1,1,4,0,D
27,SPA,7,R,L,1,0,5,0,M
27,RUS,7,R,L,1,1,6,0,M
27,SPA,4,R,R,1,1,7,0,D
27,RUS,8,L,L,1,1,8,0,M
27,SPA,8,L,L,1,0,9,1,A
27,RUS,,,,,,10,,
28,DEN,7,R,L,1,0,1,0,M
28,CRO,7,R,L,1,0,2,0,M
28,DEN,3,R,C,1,1,3,0,D
28,CRO,7,R,C,1,1,4,0,A
28,DEN,7,R,R,1,1,5,0,M
28,CRO,8,R,R,1,1,6,0,M
28,DEN,4,R,L,1,0,7,0,M
28,CRO,7,L,L,1,0,8,0,D
28,DEN,8,R,R,1,0,9,0,A
28,CRO,7,R,C,1,1,10,1,M
29,COL,5,R,L,1,1,1,0,A
29,ENG,7,R,L,1,1,2,0,A
29,COL,1,R,L,1,1,3,0,M
29,ENG,7,R,L,1,1,4,0,A
29,COL,9,R,L,1,1,5,0,A
29,ENG,9,R,R,1,0,6,0,M
29,COL,3,R,R,0,0,7,0,M
29,ENG,1,R,L,1,1,8,0,D
29,COL,4,R,L,1,0,9,0,A
29,ENG,7,R,L,1,1,10,1,M
30,RUS,5,R,C,1,0,1,0,A
30,CRO,6,R,R,1,1,2,0,M
30,RUS,9,R,C,1,1,3,0,M
30,CRO,9,R,R,1,0,4,0,M
30,RUS,7,R,C,0,0,5,0,D
30,CRO,7,R,L,1,1,6,0,M
30,RUS,7,R,R,1,1,7,0,D
30,CRO,4,R,R,1,1,8,0,D
30,RUS,7,R,R,1,1,9,1,M
30,CRO,7,R,R,1,1,10,1,M
